,Datetime,Weekday,Part of the day,counts,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,State Holiday
1622,2017-04-25 20:00:00,Tuesday,Afternoon,4,63 F,55 F,77 %,SSW,9 mph,0 mph,29.7 in,0.0
1623,2017-04-25 21:00:00,Tuesday,Afternoon,1,63 F,57 F,82 %,WSW,9 mph,0 mph,29.7 in,0.0
1624,2017-04-25 22:00:00,Tuesday,Night,1,61 F,57 F,88 %,SW,8 mph,0 mph,29.7 in,0.0
1625,2017-04-25 23:00:00,Tuesday,Night,1,63 F,57 F,82 %,SSW,5 mph,0 mph,29.7 in,0.0
1626,2017-04-26 02:00:00,Wednesday,Night,1,61 F,59 F,94 %,SSW,3 mph,0 mph,29.7 in,0.0
1627,2017-04-26 03:00:00,Wednesday,Night,1,61 F,59 F,94 %,SSW,7 mph,0 mph,29.7 in,0.0
1628,2017-04-26 07:00:00,Wednesday,Morning,1,61 F,59 F,94 %,E,3 mph,0 mph,29.7 in,0.0
1629,2017-04-26 08:00:00,Wednesday,Morning,1,59 F,55 F,88 %,ENE,17 mph,0 mph,29.7 in,0.0
1630,2017-04-26 09:00:00,Wednesday,Morning,2,57 F,55 F,94 %,ENE,17 mph,0 mph,29.7 in,0.0
1631,2017-04-26 10:00:00,Wednesday,Morning,2,57 F,54 F,88 %,ENE,13 mph,0 mph,29.7 in,0.0
