Datetime,Id,District Name,Weekday,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Longitude,Latitude,Datetime
2017-06-17 20:00:00,2017S005303    ,Sant Martí,Saturday,Afternoon,1,0,1,2,2.2115110000000002,41.401814,2017-06-17 20:00:00
2017-01-23 10:00:00,2017S000604    ,Sant Martí,Monday,Morning,1,0,1,2,2.21028,41.405466,2017-01-23 10:00:00
2017-02-06 07:00:00,2017S000982    ,Sant Martí,Monday,Morning,1,0,1,2,2.213302,41.405646000000004,2017-02-06 07:00:00
2017-05-18 00:00:00,2017S004394    ,Ciutat Vella,Thursday,Night,3,0,3,2,2.176656,41.374429,2017-05-18 00:00:00
2017-11-16 20:00:00,2017S009532    ,Ciutat Vella,Thursday,Afternoon,1,0,1,1,2.167196,41.380288,2017-11-16 20:00:00
2017-06-23 01:00:00,2017S005486    ,Ciutat Vella,Friday,Night,1,0,1,1,2.170537,41.375415000000004,2017-06-23 01:00:00
2017-07-04 19:00:00,2017S005824    ,Ciutat Vella,Tuesday,Afternoon,1,0,1,1,2.176835,41.375294,2017-07-04 19:00:00
2017-04-20 16:00:00,2017S003530    ,Ciutat Vella,Thursday,Afternoon,0,0,0,2,2.173452,41.375058,2017-04-20 16:00:00
2017-12-10 00:00:00,2017S010224    ,Ciutat Vella,Sunday,Night,1,0,1,2,2.1762919999999997,41.372365,2017-12-10 00:00:00
2017-05-27 15:00:00,2017S004690    ,Ciutat Vella,Saturday,Afternoon,1,0,1,1,2.176311,41.374765999999994,2017-05-27 15:00:00
2017-10-29 21:00:00,2017S008950    ,Ciutat Vella,Sunday,Afternoon,0,0,0,1,2.1776240000000002,41.374301,2017-10-29 21:00:00
2017-07-14 10:00:00,2017S006138    ,Sant Martí,Friday,Morning,1,0,1,2,2.197259,41.393964000000004,2017-07-14 10:00:00
2017-07-22 17:00:00,2017S006412    ,Sant Martí,Saturday,Afternoon,1,0,1,1,2.201007,41.38794,2017-07-22 17:00:00
2017-12-05 16:00:00,2017S010159    ,Sant Martí,Tuesday,Afternoon,1,0,1,1,2.194805,41.387167,2017-12-05 16:00:00
2017-11-17 01:00:00,2017S009541    ,Sant Martí,Friday,Night,0,0,0,1,2.201603,41.391059000000006,2017-11-17 01:00:00
2017-05-19 21:00:00,2017S004456    ,Sant Martí,Friday,Afternoon,2,0,2,2,2.199842,41.390438,2017-05-19 21:00:00
2017-07-12 08:00:00,2017S006063    ,Sant Martí,Wednesday,Morning,1,0,1,2,2.197996,41.389281,2017-07-12 08:00:00
2017-09-01 14:00:00,2017S007315    ,Sant Martí,Friday,Afternoon,1,0,1,1,2.194517,41.389066,2017-09-01 14:00:00
2017-12-27 04:00:00,2017S010684    ,Sant Martí,Wednesday,Night,1,0,1,5,2.197392,41.388013,2017-12-27 04:00:00
2017-06-26 23:00:00,2017S005596    ,Sant Martí,Monday,Night,1,0,1,2,2.1959470000000003,41.388026,2017-06-26 23:00:00
2017-10-14 13:00:00,2017S008470    ,Sant Martí,Saturday,Morning,0,0,0,6,2.189985,41.39035,2017-10-14 13:00:00
2017-01-28 02:00:00,2017S000738    ,Sant Martí,Saturday,Night,0,0,0,2,2.200096,41.389776,2017-01-28 02:00:00
2017-11-03 13:00:00,2017S009081    ,Ciutat Vella,Friday,Morning,0,0,0,1,2.174252,41.376651,2017-11-03 13:00:00
2017-02-28 07:00:00,2017S001635    ,Ciutat Vella,Tuesday,Morning,3,0,3,3,2.177375,41.373978,2017-02-28 07:00:00
2017-05-08 21:00:00,2017S004087    ,Ciutat Vella,Monday,Afternoon,1,0,1,2,2.178907,41.383833,2017-05-08 21:00:00
2017-12-16 18:00:00,2017S010405    ,Ciutat Vella,Saturday,Afternoon,1,0,1,2,2.1762479999999997,41.377971,2017-12-16 18:00:00
